Faculty_Full_Name,Rank,Professor_Type,Faculty_Author_Affiliation,pmids,pub_mesh_terms
"Burley, Nancy",prof,research,"Burley, Nancy[Author] AND Irvine[Affiliation] OR Burley, N[Author] AND Irvine[Affiliation]",[],
"Busciglio, Jorge",prof,research,"Busciglio, Jorge[Author] AND Irvine[Affiliation] OR Busciglio, J[Author] AND Irvine[Affiliation]","['40445428', '40257051', '39756004', '37064334', '37021589', '36742045']","Humans; Down Syndrome; COVID-19; Female; Male; SARS-CoV-2; Cerebral Cortex; Aneuploidy; Cells, Cultured; Serine Endopeptidases; Humans; Down Syndrome; Alzheimer Disease; Extracellular Vesicles; Male; Female; Biomarkers; Middle Aged; Neurons; Adult; tau Proteins; Nerve Growth Factor; Aged; Tetraspanin 28; Protein Precursors; Down Syndrome; Humans; Animals; Female; Adult; Quality of Life; Child; Biomedical Research; Humans; Adult; Alzheimer Disease; Down Syndrome; Basal Forebrain; Atrophy; Biomarkers"
"Cahill, Larry",prof,research,"Cahill, Larry[Author] AND Irvine[Affiliation] OR Cahill, L[Author] AND Irvine[Affiliation]",['36349596'],"Female; Humans; Male; Oxytocin; Memory, Episodic; Sex Characteristics; Estradiol; Emotions; Administration, Intranasal; Magnetic Resonance Imaging; Double-Blind Method"
"Cho, Ken",prof,research,"Cho, Ken[Author] AND Irvine[Affiliation] OR Cho, K[Author] AND Irvine[Affiliation]","['40480970', '40461469', '40418444', '40175382', '40128256', '40071594', '39829826', '39550025', '39298433', '39222370', '38451304', '38318581', '37436712', '37423592', '36971347', '36606555', '36168140', '35859696', '35848281', '35414985']","Animals; Xenopus; Genome; Chromatin; Embryo, Nonmammalian; Gene Expression Regulation, Developmental; Animals; Chromatin; Zygote; Histones; Gene Expression Regulation, Developmental; Xenopus laevis; Xenopus Proteins; Germ Layers; Transcription Factors; Endoderm; Female; Epigenesis, Genetic; Gastrula; Lysine; Humans; Heart Failure; Caregivers; Self Care; Male; Female; Depression; Aged; Middle Aged; Adult; Aged, 80 and over; Humans; Kidney Transplantation; Kidney Failure, Chronic; Male; United States; Female; Middle Aged; Health Services Accessibility; Healthcare Disparities; Socioeconomic Factors; Adult; Aged; Insurance Coverage; Medicaid; Logistic Models; Socioeconomic Disparities in Health; Humans; Psychotic Disorders; Schizophrenia; Prospective Studies; Adult; Prodromal Symptoms; Young Adult; International Cooperation; Adolescent; Research Design; Male; Female; Humans; Female; Ovarian Neoplasms; Risk Factors; Risk Assessment; Case-Control Studies; N-Myc Proto-Oncogene Protein; Gene Regulatory Networks; Endoderm; Cell Differentiation; Transcription Factors; Gene Expression Regulation, Developmental; Histones; Histone Deacetylase 1; Chromatin; Blastocyst; Histone Deacetylases; Embryonic Development; Acetylation; Histone Deacetylase 2; Humans; Learning; Curriculum; Students; Educational Measurement; Laboratories; Animals; Xenopus laevis; Epigenomics; Chromatin; Embryonic Development; Zygote; Gene Expression Regulation, Developmental; Animals; Chromatin; Forkhead Transcription Factors; Gene Expression Regulation, Developmental; Mice; Proteomics; Xenopus Proteins; Xenopus laevis"
"Chrastil, Elizabeth",assoc prof,research,"Chrastil, Elizabeth[Author] AND Irvine[Affiliation] OR Chrastil, E[Author] AND Irvine[Affiliation]","['40262422', '39566126', '39284962', '38919601', '38587934', '38190546', '36460006', '36322732', '35995375']",Humans; Female; Male; Young Adult; Adult; Adolescent; Spatial Navigation; Exploratory Behavior; Spatial Learning; Spatial Memory; Sex Factors; Maze Learning; Humans; Male; Hippocampus; Female; Spatial Navigation; Young Adult; Adult; Magnetic Resonance Imaging; Maze Learning; Adolescent; Organ Size; Spatial Memory; Humans; Female; Pregnancy; Brain; Adult; Magnetic Resonance Imaging; Gray Matter; White Matter; Humans; Figural Aftereffect; Motion; Motion Perception; Spatial Memory; Spatial Learning; Gyrus Cinguli; Cognition; Cerebral Cortex; Spatial Navigation; Animals; Humans; Brain; Temporal Lobe; Neurons; Head; Hippocampus; Humans; Maze Learning; Memory; Spatial Navigation; Theta Rhythm
"Cinquin, Olivier",assoc prof,research,"Cinquin, Olivier[Author] AND Irvine[Affiliation] OR Cinquin, O[Author] AND Irvine[Affiliation]","['39910777', '38314912']","Computational Biology; Programming Languages; Software; Databases, Factual; Genomics; Humans; Large Language Models; Generative Artificial Intelligence; Humans; Medicine; Cell Line; Chromatin Immunoprecipitation; Databases, Factual; Language"
"Cocco, Melanie",assoc prof,research,"Cocco, Melanie[Author] AND Irvine[Affiliation] OR Cocco, M[Author] AND Irvine[Affiliation]","['39467204', '38745908']",Basic Helix-Loop-Helix Transcription Factors; Ligands; Kinetics; Humans; Molecular Dynamics Simulation; Protein Binding
"Cohen-Cory, Susana",prof,research,"Cohen-Cory, Susana[Author] AND Irvine[Affiliation] OR Cohen-Cory, S[Author] AND Irvine[Affiliation]","['37252636', '35422013']",Animals; Axons; Cell Adhesion Molecules; Retina; Superior Colliculi; Visual Pathways; Xenopus Proteins; Xenopus laevis
"Connor, Kwasi",asst prof,research,"Connor, Kwasi[Author] AND Irvine[Affiliation] OR Connor, K[Author] AND Irvine[Affiliation]","['38857883', '36572236']",Animals; Mytilus; Amylases; Hot Temperature; Cellulase; Heat-Shock Response; Acclimatization; Diet; Animals; Mytilus; Temperature; Heat-Shock Response; Cold Temperature; Acclimatization
"Cramer, Karina",prof,research,"Cramer, Karina[Author] AND Irvine[Affiliation] OR Cramer, K[Author] AND Irvine[Affiliation]","['39416682', '38189925', '36323869', '35330912', '35221938']","Animals; RNA, Long Noncoding; Phylogeny; Gene Expression Regulation; Biological Evolution; Mammals; Animals; Mice; Microglia; Brain Stem; Trapezoid Body; Hearing; Synapses"
"Daley, Monica",prof,research,"Daley, Monica[Author] AND Irvine[Affiliation] OR Daley, M[Author] AND Irvine[Affiliation]","['40462750', '39665282', '39633193', '39445492', '39148931', '39021771', '38873800', '38290561', '38059428', '37905058', '37565347', '37334740', '37282982', '37086033', '35924117', '35612979', '35294220', '35042414']","Animals; Air; Biomechanical Phenomena; Birds; Extremities; Flight, Animal; Gait; Locomotion; Robotics; Wings, Animal; Walking; Aircraft; Biomimetics; Motion; Animals; Muscle, Skeletal; Rats; Biomechanical Phenomena; Male; Electromyography; Locomotion; Rats, Sprague-Dawley; Muscle Contraction; Avatar; Animals; Galliformes; Muscle, Skeletal; Biomechanical Phenomena; Running; Electromyography; Walking; Muscle Contraction; Isometric Contraction; Conservation of Energy Resources; Tendons; Muscle, Skeletal; Elasticity; Elastomers; Stress, Mechanical; Viscosity; Animals; Genomics; Environment; Animals; Feedback; Robotics; Robotic Surgical Procedures; Locomotion; Spinal Cord; Vertebrates; Mice; Animals; Biomechanical Phenomena; Locomotion; Muscle, Skeletal; Running; Galliformes; Muscle Contraction; Animals; Biomechanical Phenomena; Walking; Muscle, Skeletal; Gait; Galliformes; Biomechanical Phenomena; History, 20th Century; History, 21st Century; Animals; Biomechanical Phenomena; Birds; Gait; Leg; Locomotion; Robotics; Animals; Biology; Biomechanical Phenomena; Locomotion; Movement; Robotics"
"Donovan, Peter",prof,research,"Donovan, Peter[Author] AND Irvine[Affiliation] OR Donovan, P[Author] AND Irvine[Affiliation]",['38629187'],Humans; Chromatin; Transcription Factor 7-Like 1 Protein; Human Embryonic Stem Cells; Protein Binding; Wnt Signaling Pathway; Cell Line
"Drayman, Nir",asst prof,research,"Drayman, Nir[Author] AND Irvine[Affiliation] OR Drayman, N[Author] AND Irvine[Affiliation]","['40044688', '39814710', '39287456', '38168299', '38008398', '37991369', '37747254', '36217030']","Virus Replication; Humans; Genome, Viral; Herpesvirus 1, Human; Homeodomain Proteins; Zygote; Gene Expression Regulation, Viral; Herpesviridae; Animals; CRISPR-Cas Systems; Transcription, Genetic; HEK293 Cells; Herpesvirus 1, Human; Antiviral Agents; Humans; Decitabine; Drug Repositioning; Acyclovir; Herpes Simplex; Animals; Drug Synergism; Virus Replication; Drug Resistance, Viral; Chlorocebus aethiops; Vero Cells; Keratinocytes; Cell Line; Single-Cell Analysis; Humans; Virus Diseases; COVID-19; SARS-CoV-2; Animals; Sequence Analysis, RNA; Viruses; DNA, Viral; Genome, Viral; Herpesvirus 1, Human; Mutation; Virus Replication; Eukaryotic Cells; Cell Nucleus; Serial Passage; Humans; Humans; Herpesvirus 1, Human; Virus Diseases; Orthomyxoviridae; Humans; Cell Line; COVID-19; Gene Expression Regulation; SARS-CoV-2; Viral Proteins; Protein Interaction Mapping"
"Edinger, Aimee",prof,research,"Edinger, Aimee[Author] AND Irvine[Affiliation] OR Edinger, A[Author] AND Irvine[Affiliation]","['39602282', '39027368', '38735134', '37779389', '37693406', '37022133', '36727438']","Pinocytosis; Humans; Autophagy; Cell Line, Tumor; Sodium-Hydrogen Exchangers; Amiloride; Cell Proliferation; CRISPR-Cas Systems; Vacuoles; Endosomes; Humans; Phosphatidylinositols; Animals; PTEN Phosphohydrolase; Phosphatidylinositol 3-Kinases; Class III Phosphatidylinositol 3-Kinases; Mice; Morpholines; Vacuolar Proton-Translocating ATPases; Cytoplasm; HeLa Cells; Aminopyridines; Heterocyclic Compounds, 3-Ring; Humans; Minority Groups; Cultural Diversity; Faculty; Students; Schools; Animals; Mice; Humans; Kidney Glomerulus; Podocytes; Endosomes; Drosophila; Kidney; Mammals; Animals; Mice; Oligonucleotides; Endosomes; Endocytosis; Biological Transport; Oligonucleotides, Antisense; RNA, Small Interfering"
"Emerson, J.J.",assoc prof,research,"Emerson, James[Author] AND Irvine[Affiliation] OR Emerson, JJ[Author] AND Irvine[Affiliation] OR 0000-0001-9474-0891[Author - Identifier]","['39990489', '39975360', '39920270', '39875578', '39693425', '38915508', '37552755', '37494033', '35710823', '35501892']","Evolution, Molecular; Selection, Genetic; Animals; Gene Regulatory Networks; Humans; Mutation; Gene Duplication; Phenotype; Plants; Animals; Enhancer Elements, Genetic; Evolution, Molecular; Drosophila melanogaster; Drosophila Proteins; Genes, Duplicate; Gene Duplication; Genome, Insect; Animals; Female; Color Vision; Butterflies; Eye; Opsins; Rhodopsin; Genome-Wide Association Study; Gene Frequency; Genomics; Software; High-Throughput Nucleotide Sequencing; Animals; Chromatin; Chromatin Assembly and Disassembly; Genome; Heterochromatin; Mammals; Molecular Conformation"
"Eom, Dae Seok",asst prof,research,"Eom, Dae Seok[Author] AND Irvine[Affiliation] OR Eom, D[Author] AND Irvine[Affiliation]","['39242378', '38463999', '37454294', '35467525', '35355366']",Animals; Cell Communication; Humans; Zebrafish; Signal Transduction; Animals; Zebrafish; Matrix Metalloproteinase 9; Macrophages; Cell Communication; Signal Transduction; Animals; Cell Surface Extensions; Diffusion; Zebrafish; Animals; Drosophila; Drosophila Proteins; Endoderm; Muscles; Zebrafish
"Faiola, Celia",assoc prof,research,"Faiola, Celia[Author] AND Irvine[Affiliation] OR Faiola, C[Author] AND Irvine[Affiliation]","['39018113', '38812434', '38669108', '38371653', '37223424', '36249538']","Aerosols; Oxidation-Reduction; Volatile Organic Compounds; Air Pollutants; Terpenes; Acyclic Monoterpenes; Models, Chemical; Photochemical Processes; Atmosphere; Bicyclic Monoterpenes; Monoterpenes; Environmental Monitoring; Ozone; Sesquiterpenes; Atmosphere; Air Pollutants; Isomerism"
"Fortin, Norbert",prof,research,"Fortin, Norbert[Author] AND Irvine[Affiliation] OR Fortin, N[Author] AND Irvine[Affiliation]","['40282562', '40270583', '35781923', '35532116', '35136052']","Animals; CA1 Region, Hippocampal; Cognition; Hippocampus; Memory; Odorants; Rats; Theta Rhythm; Acoustic Stimulation; Animals; Auditory Perception; Electrodes, Implanted; Hippocampus; Machine Learning; Male; Memory; Models, Animal; Nerve Net; Odorants; Olfactory Perception; Rats; Stereotaxic Techniques; Time Factors"
"Fowler, Christie",prof,research,"Fowler, Christie[Author] AND Irvine[Affiliation] OR Fowler, C[Author] AND Irvine[Affiliation]","['40312816', '39665315', '39436961', '39372847', '39346680', '39334909', '38486879', '38464047', '38176534', '37821229', '37645635', '37398219', '36481259', '35332148', '35090174']","Animals; Humans; Biomedical Research; Extracellular Vesicles; Eye Diseases; National Eye Institute (U.S.); United States; Vision, Ocular; Medulloblastoma; Humans; Animals; Mice; Cell Proliferation; Cell Line, Tumor; Cell Movement; Xenograft Model Antitumor Assays; Cerebellar Neoplasms; Antineoplastic Agents; Child; Apoptosis; Dronabinol; Animals; Extracellular Vesicles; Male; Female; Rats; Proteomics; Brain; Rats, Sprague-Dawley; Administration, Inhalation; Receptor, Cannabinoid, CB1; Signal Transduction; Mice; Male; Female; Animals; Nicotine; Cannabidiol; Smoking; Substance Withdrawal Syndrome; Smoking Cessation; Male; Adolescent; Female; Humans; Nicotine; Nicotinic Agonists; Habenula; Electronic Nicotine Delivery Systems; Synaptic Transmission; Cholinergic Neurons; Receptors, Purinergic P2; Adenosine Triphosphate; Adolescent; Humans; Rats; Male; Female; Animals; Dronabinol; Rats, Sprague-Dawley; Cannabis; Mass Spectrometry; Aerosols; Humans; Nicotine; Quality of Life; Smoking Cessation; Tobacco Products; Tobacco Use; Tobacco Use Cessation Devices; Animals; Cognition; Dronabinol; Electronic Nicotine Delivery Systems; Female; Humans; Male; Nicotine; Pregnancy; Prenatal Exposure Delayed Effects; Rats"
"Frank, Steven",prof,research,"Frank, Steven[Author] AND Irvine[Affiliation] OR Frank, S[Author] AND Irvine[Affiliation]","['40065655', '39347377', '39328288', '39298476', '39112299', '38128480', '37868077', '37628192', '37117073', '36950372', '36845325', '36645393', '36138773']","Humans; Neoplasms; Phenotype; Epigenesis, Genetic; Mutation; Animals; Evolution, Molecular; Genotype; Cell Biology; Phenotype; Biological Evolution; Bacteria; Models, Genetic; Mutation; Computer Simulation; Phenotype; Inheritance Patterns; Disease"
"Frostig, Ron",prof,research,"Frostig, Ron[Author] AND Irvine[Affiliation] OR Frostig, R[Author] AND Irvine[Affiliation]","['40386424', '37550353', '36455372', '36155970', '35110588']","Rats; Animals; Infarction, Middle Cerebral Artery; Lactic Acid; Astrocytes; Neuroprotection; Ischemic Attack, Transient; Neurons; Brain Ischemia; Rats; Animals; Glutamic Acid; Biosensing Techniques; Brain; Neurotransmitter Agents; gamma-Aminobutyric Acid; Anesthetics; Animals; Brain; Head; Neuroimaging; Rats; Wakefulness; Action Potentials; Animals; Brain Ischemia; Cerebral Cortex; Disease Models, Animal; Electric Stimulation; Infarction, Middle Cerebral Artery; Ischemic Attack, Transient; Microelectrodes; Neural Conduction; Rats; Stroke"
